PeriodeAttente,Delais_d'attente,Region,Chirurgie_generale,Chirurgie_orthopedique,Chirurgie_plastique,Chirurgie_vasculaire,Neurochirurgie,Obstetrique_et_gynecologie,Ophtalmologie,ORL_chirurgie_cervico_faciale,Urologie,Autres,Total
2324-P07,6 à 12 mois,RSS13,95,192,22,2,0,28,25,278,33,12,687
2324-P07,Plus d'1 an,RSS13,2,17,1,0,0,2,0,20,,0,42
2324-P07,0 à 6 mois,RSS14,993,1023,230,41,0,347,1198,531,424,112,4899
2324-P07,6 à 12 mois,RSS14,538,636,82,25,0,69,716,207,171,132,2576
2324-P07,Plus d'1 an,RSS14,255,307,100,39,0,12,247,392,168,11,1531
2324-P07,0 à 6 mois,RSS15,1746,2364,183,111,0,435,1013,511,568,47,6978
2324-P07,6 à 12 mois,RSS15,785,930,12,44,0,35,99,263,112,8,2288
2324-P07,Plus d'1 an,RSS15,307,714,26,21,0,4,11,94,7,4,1188
2324-P07,0 à 6 mois,RSS16,2623,3949,492,52,57,1016,3684,1746,805,321,14745
2324-P07,6 à 12 mois,RSS16,620,1516,220,17,24,201,929,540,120,17,4204
2324-P07,Plus d'1 an,RSS16,194,1180,105,2,70,42,30,332,46,51,2052
2324-P08,0 à 6 mois,RSS01,514,850,0,0,0,132,596,46,300,520,2958
2324-P08,6 à 12 mois,RSS01,95,183,0,0,0,10,90,,42,78,498
2324-P08,Plus d'1 an,RSS01,6,0,0,0,0,0,0,,,0,6
2324-P08,0 à 6 mois,RSS02,733,1096,133,48,68,305,1699,434,367,200,5083
2324-P08,6 à 12 mois,RSS02,192,293,65,2,12,38,214,115,106,73,1110
2324-P08,Plus d'1 an,RSS02,115,84,25,2,16,12,91,14,25,12,396
2324-P08,0 à 6 mois,RSS03,2109,2646,387,160,308,866,2740,2059,1233,586,13094
2324-P08,6 à 12 mois,RSS03,633,1353,120,22,36,441,281,460,367,121,3834
2324-P08,Plus d'1 an,RSS03,83,188,104,3,15,162,1,57,63,27,703
2324-P08,0 à 6 mois,RSS04,1129,1289,96,65,74,414,1460,820,461,283,6091
2324-P08,6 à 12 mois,RSS04,226,365,40,8,15,26,152,370,81,84,1367
2324-P08,Plus d'1 an,RSS04,48,82,12,9,5,2,33,100,57,13,361
2324-P08,0 à 6 mois,RSS05,1327,1896,392,39,134,443,1865,853,435,303,7687
2324-P08,6 à 12 mois,RSS05,504,811,110,5,70,105,294,293,176,150,2518
2324-P08,Plus d'1 an,RSS05,318,189,146,1,81,174,39,237,162,121,1468
2324-P08,0 à 6 mois,RSS06,7761,6091,2194,305,591,2649,8541,4400,2343,1463,36338
2324-P08,6 à 12 mois,RSS06,2445,2737,780,48,162,599,1548,2260,643,558,11780
2324-P08,Plus d'1 an,RSS06,722,1164,616,23,69,80,296,851,195,114,4130
2324-P08,0 à 6 mois,RSS07,882,537,241,61,67,270,1272,564,222,70,4186
2324-P08,6 à 12 mois,RSS07,307,438,152,6,46,122,105,311,105,40,1632
2324-P08,Plus d'1 an,RSS07,403,299,38,1,53,133,7,360,96,21,1411
2324-P08,0 à 6 mois,RSS08,362,551,13,0,0,174,270,61,149,52,1632
2324-P08,6 à 12 mois,RSS08,65,380,1,0,0,2,126,10,6,0,590
2324-P08,Plus d'1 an,RSS08,2,71,0,0,0,0,3,,,0,76
2324-P08,0 à 6 mois,RSS09,198,159,13,0,0,37,217,184,16,53,877
2324-P08,6 à 12 mois,RSS09,15,2,7,0,0,4,1,3,1,7,40
2324-P08,Plus d'1 an,RSS09,1,0,47,0,0,0,0,,,0,48
2324-P08,0 à 6 mois,RSS10,76,0,0,0,0,34,0,3,,0,113
2324-P08,6 à 12 mois,RSS10,2,0,0,0,0,0,0,,,0,2
2324-P08,0 à 6 mois,RSS11,227,185,5,0,0,55,436,160,15,55,1138
2324-P08,6 à 12 mois,RSS11,18,53,1,0,0,3,98,9,1,5,188
2324-P08,Plus d'1 an,RSS11,7,8,0,0,0,1,0,1,,3,20
2324-P08,0 à 6 mois,RSS12,967,1618,176,0,0,552,1252,601,365,682,6213
2324-P08,6 à 12 mois,RSS12,300,779,42,0,0,40,111,107,48,234,1661
2324-P08,Plus d'1 an,RSS12,45,68,14,0,0,0,16,23,19,30,215
2324-P08,0 à 6 mois,RSS13,549,681,130,95,0,249,835,354,244,81,3218
2324-P08,6 à 12 mois,RSS13,106,180,25,3,0,46,18,300,42,8,728
2324-P08,Plus d'1 an,RSS13,10,10,1,0,0,3,0,14,,0,38
2324-P08,0 à 6 mois,RSS14,999,1024,225,45,0,368,1263,532,442,97,4995
2324-P08,6 à 12 mois,RSS14,568,650,90,18,0,76,768,220,188,134,2712
2324-P08,Plus d'1 an,RSS14,259,313,94,39,0,17,260,390,166,13,1551
2324-P08,0 à 6 mois,RSS15,1680,2513,233,113,0,471,1255,468,553,42,7328
2324-P08,6 à 12 mois,RSS15,748,873,8,58,0,33,117,270,110,11,2228
2324-P08,Plus d'1 an,RSS15,317,710,27,24,0,1,10,89,4,3,1185
