PeriodeAttente,Delais_d'attente,Region,Chirurgie_generale,Chirurgie_orthopedique,Chirurgie_plastique,Chirurgie_vasculaire,Neurochirurgie,Obstetrique_et_gynecologie,Ophtalmologie,ORL_chirurgie_cervico_faciale,Urologie,Autres,Total
2021-P10,0 à 6 mois,RSS15,1251,2055,183,60,0,515,679,212,274,177,5406
2021-P10,6 à 12 mois,RSS15,474,909,85,20,0,197,52,93,138,44,2012
2021-P10,Plus d'1 an,RSS15,316,227,186,16,0,45,12,29,133,32,996
2021-P10,0 à 6 mois,RSS16,2330,3709,503,51,76,909,2764,1014,736,164,12256
2021-P10,6 à 12 mois,RSS16,659,1585,225,15,22,313,942,415,172,35,4383
2021-P10,Plus d'1 an,RSS16,474,1035,124,4,62,116,293,282,98,24,2512
2021-P11,0 à 6 mois,RSS01,399,776,0,0,0,96,673,78,222,195,2439
2021-P11,6 à 12 mois,RSS01,92,111,0,0,0,17,92,18,13,12,355
2021-P11,Plus d'1 an,RSS01,98,1,0,0,0,1,15,,,5,120
2021-P11,0 à 6 mois,RSS02,678,837,128,48,95,394,1238,303,332,209,4262
2021-P11,6 à 12 mois,RSS02,316,327,52,30,48,89,91,89,133,32,1207
2021-P11,Plus d'1 an,RSS02,121,102,82,22,28,31,60,34,116,12,608
2021-P11,0 à 6 mois,RSS03,1890,2492,65,92,281,642,1922,1747,806,486,10423
2021-P11,6 à 12 mois,RSS03,289,648,185,8,95,112,49,95,133,74,1688
2021-P11,Plus d'1 an,RSS03,57,94,215,0,4,17,12,2,6,8,415
2021-P11,0 à 6 mois,RSS04,1224,1082,67,91,92,515,1463,340,470,332,5676
2021-P11,6 à 12 mois,RSS04,191,224,76,7,8,50,397,28,108,75,1164
2021-P11,Plus d'1 an,RSS04,14,34,90,1,8,2,35,4,41,42,271
2021-P11,0 à 6 mois,RSS05,1380,1687,509,34,220,745,1992,579,400,243,7789
2021-P11,6 à 12 mois,RSS05,345,341,340,2,45,168,305,130,80,45,1801
2021-P11,Plus d'1 an,RSS05,162,108,35,0,20,56,75,118,111,51,736
2021-P11,0 à 6 mois,RSS06,5416,5782,2824,260,401,2485,8349,2510,1910,1178,31115
2021-P11,6 à 12 mois,RSS06,1704,2205,1191,31,163,665,1599,761,521,279,9119
2021-P11,Plus d'1 an,RSS06,1222,1432,1020,15,114,203,1286,777,459,122,6650
2021-P11,0 à 6 mois,RSS07,732,498,108,33,48,436,2077,442,129,155,4658
2021-P11,6 à 12 mois,RSS07,227,223,71,10,54,146,445,84,58,158,1476
2021-P11,Plus d'1 an,RSS07,218,505,88,8,157,48,82,79,89,37,1311
2021-P11,0 à 6 mois,RSS08,292,431,21,0,0,160,320,38,96,92,1450
2021-P11,6 à 12 mois,RSS08,28,152,1,0,0,11,17,,14,19,242
2021-P11,Plus d'1 an,RSS08,22,137,0,0,0,4,1,,25,5,194
2021-P11,0 à 6 mois,RSS09,186,162,35,0,0,74,202,59,13,137,868
2021-P11,6 à 12 mois,RSS09,34,14,0,0,0,11,6,2,3,28,98
2021-P11,Plus d'1 an,RSS09,9,1,0,0,0,0,0,,2,8,20
2021-P11,0 à 6 mois,RSS10,47,0,0,0,0,12,0,12,,2,73
2021-P11,6 à 12 mois,RSS10,2,0,0,0,0,5,0,,,0,7
2021-P11,Plus d'1 an,RSS10,0,0,0,0,0,1,0,,,0,1
2021-P11,0 à 6 mois,RSS11,162,249,3,0,0,56,180,45,13,45,753
2021-P11,6 à 12 mois,RSS11,30,27,0,0,0,3,1,9,1,4,75
2021-P11,Plus d'1 an,RSS11,13,3,0,0,0,0,1,,,2,19
2021-P11,0 à 6 mois,RSS12,786,1476,239,0,0,371,1439,342,329,403,5385
2021-P11,6 à 12 mois,RSS12,285,230,126,0,0,75,443,80,70,159,1468
2021-P11,Plus d'1 an,RSS12,185,57,81,0,0,19,146,66,19,11,584
2021-P11,0 à 6 mois,RSS13,504,700,121,73,0,195,515,317,163,7,2595
2021-P11,6 à 12 mois,RSS13,90,279,24,18,0,61,40,90,16,8,626
2021-P11,Plus d'1 an,RSS13,84,237,61,6,0,58,13,40,4,8,511
2021-P11,0 à 6 mois,RSS14,1238,909,164,56,0,296,1239,591,354,84,4931
2021-P11,6 à 12 mois,RSS14,509,375,120,30,0,46,592,277,172,21,2142
2021-P11,Plus d'1 an,RSS14,258,379,185,30,0,27,335,268,60,11,1553
2021-P11,0 à 6 mois,RSS15,1405,2105,206,83,0,574,1003,280,301,192,6149
2021-P11,6 à 12 mois,RSS15,394,952,85,24,0,164,59,88,121,35,1922
2021-P11,Plus d'1 an,RSS15,370,269,206,16,0,51,10,34,167,42,1165
2021-P11,0 à 6 mois,RSS16,2338,3621,459,44,66,796,2796,967,698,151,11936
2021-P11,6 à 12 mois,RSS16,619,1535,213,10,30,233,962,322,166,31,4121
2021-P11,Plus d'1 an,RSS16,501,1179,148,9,65,123,366,292,114,25,2822
2021-P12,0 à 6 mois,RSS01,391,755,0,0,0,108,672,75,193,198,2392
2021-P12,6 à 12 mois,RSS01,46,119,0,0,0,19,52,18,16,11,281
2021-P12,Plus d'1 an,RSS01,141,0,0,0,0,0,28,3,,9,181
2021-P12,0 à 6 mois,RSS02,642,849,177,49,73,388,1266,291,346,238,4319
2021-P12,6 à 12 mois,RSS02,312,341,31,21,35,100,79,72,138,30,1159
2021-P12,Plus d'1 an,RSS02,141,123,84,26,39,33,64,30,129,17,686
2021-P12,0 à 6 mois,RSS03,1863,2683,76,86,297,689,2078,1886,789,516,10963
2021-P12,6 à 12 mois,RSS03,288,527,149,4,102,102,47,85,99,72,1475
2021-P12,Plus d'1 an,RSS03,101,66,234,1,5,17,8,3,12,19,466
2021-P12,0 à 6 mois,RSS04,1228,1155,79,91,99,507,1455,359,538,338,5849
2021-P12,6 à 12 mois,RSS04,199,227,69,2,11,49,381,23,106,61,1128
2021-P12,Plus d'1 an,RSS04,25,45,74,1,8,4,59,5,50,59,330
2021-P12,0 à 6 mois,RSS05,1424,1781,587,40,237,787,2212,621,359,293,8341
2021-P12,6 à 12 mois,RSS05,387,337,351,3,43,182,320,130,90,44,1887
2021-P12,Plus d'1 an,RSS05,197,129,38,0,22,74,120,123,119,55,877
2021-P12,0 à 6 mois,RSS06,5580,5657,2887,256,453,2459,8815,2639,1921,1167,31834
2021-P12,6 à 12 mois,RSS06,1481,2042,1058,34,143,634,1336,639,513,267,8147
2021-P12,Plus d'1 an,RSS06,1293,1676,1112,18,133,258,1413,816,477,166,7362
2021-P12,0 à 6 mois,RSS07,729,563,104,38,52,422,2342,421,135,130,4936
2021-P12,6 à 12 mois,RSS07,214,233,55,10,48,182,446,50,61,138,1437
2021-P12,Plus d'1 an,RSS07,179,524,100,9,160,58,106,100,107,81,1424
2021-P12,0 à 6 mois,RSS08,320,448,9,0,0,152,428,34,73,102,1566
2021-P12,6 à 12 mois,RSS08,25,124,3,0,0,11,20,,7,6,196
2021-P12,Plus d'1 an,RSS08,24,127,0,0,0,5,0,,,7,163
2021-P12,0 à 6 mois,RSS09,184,158,25,0,0,70,153,56,9,139,794
2021-P12,6 à 12 mois,RSS09,28,8,20,0,0,13,7,1,1,31,109
2021-P12,Plus d'1 an,RSS09,12,3,0,0,0,2,1,1,1,7,27
2021-P12,0 à 6 mois,RSS10,45,0,0,0,0,16,0,12,,1,74
2021-P12,6 à 12 mois,RSS10,2,0,0,0,0,5,0,,,0,7
2021-P12,0 à 6 mois,RSS11,163,226,3,0,0,46,190,54,11,56,749
2021-P12,6 à 12 mois,RSS11,29,17,0,0,0,2,1,8,3,2,62
2021-P12,Plus d'1 an,RSS11,8,1,0,0,0,0,1,1,,2,13
2021-P12,0 à 6 mois,RSS12,739,1486,222,0,0,364,1266,369,352,405,5203
2021-P12,6 à 12 mois,RSS12,261,183,117,0,0,63,466,79,73,164,1406
2021-P12,Plus d'1 an,RSS12,197,61,103,0,0,23,146,69,25,27,651
2021-P12,0 à 6 mois,RSS13,491,721,107,92,0,183,474,320,181,6,2575
2021-P12,6 à 12 mois,RSS13,92,213,24,13,0,57,54,88,19,10,570
2021-P12,Plus d'1 an,RSS13,94,283,59,10,0,65,16,45,4,8,584
2021-P12,0 à 6 mois,RSS14,1284,879,173,62,0,315,1306,613,369,66,5067
2021-P12,6 à 12 mois,RSS14,458,370,92,33,0,46,478,265,185,24,1951
2021-P12,Plus d'1 an,RSS14,316,413,206,36,0,33,434,284,67,19,1808
2021-P12,0 à 6 mois,RSS15,1454,2205,236,91,0,618,1145,307,313,212,6581
2021-P12,6 à 12 mois,RSS15,385,899,61,22,0,123,69,64,123,23,1769
2021-P12,Plus d'1 an,RSS15,382,353,221,18,0,66,14,48,171,49,1322
2021-P12,0 à 6 mois,RSS16,2308,3510,461,43,69,851,3076,1028,705,185,12236
2021-P12,6 à 12 mois,RSS16,636,1555,201,9,37,198,1013,268,166,27,4110
2021-P12,Plus d'1 an,RSS16,527,1340,168,11,64,137,422,308,138,36,3151
2021-P13,0 à 6 mois,RSS01,412,732,0,0,0,110,618,77,218,197,2364
2021-P13,6 à 12 mois,RSS01,43,146,0,0,0,14,27,20,24,15,289
2021-P13,Plus d'1 an,RSS01,136,1,0,0,0,2,34,1,,10,184
2021-P13,0 à 6 mois,RSS02,608,784,222,47,77,343,1233,253,372,242,4181
2021-P13,6 à 12 mois,RSS02,317,371,46,23,26,142,116,90,153,23,1307
2021-P13,Plus d'1 an,RSS02,154,104,88,25,40,37,48,22,136,25,679
2021-P13,0 à 6 mois,RSS03,1866,2764,194,82,280,640,2230,1825,791,483,11155
2021-P13,6 à 12 mois,RSS03,264,561,130,4,94,94,74,111,71,94,1497
2021-P13,Plus d'1 an,RSS03,79,57,263,0,17,13,8,,7,18,462
2021-P13,0 à 6 mois,RSS04,1137,1124,79,59,109,515,1500,359,519,345,5746
2021-P13,6 à 12 mois,RSS04,297,251,64,15,9,66,368,27,121,60,1278
2021-P13,Plus d'1 an,RSS04,26,36,73,1,8,2,53,3,43,44,289
2021-P13,0 à 6 mois,RSS05,1352,1865,660,42,230,793,2218,672,375,337,8544
2021-P13,6 à 12 mois,RSS05,458,379,373,3,51,224,372,159,107,58,2184
2021-P13,Plus d'1 an,RSS05,195,136,43,0,24,84,97,119,120,63,881
2021-P13,0 à 6 mois,RSS06,5248,5256,2729,262,437,2278,8579,2496,1847,1184,30316
2021-P13,6 à 12 mois,RSS06,1649,2306,1072,24,111,661,1511,687,493,280,8794
2021-P13,Plus d'1 an,RSS06,1268,1657,1128,25,133,268,1407,738,461,185,7270
2021-P13,0 à 6 mois,RSS07,738,631,132,36,41,357,2195,383,122,118,4753
2021-P13,6 à 12 mois,RSS07,249,257,62,11,46,232,544,92,80,116,1689
2021-P13,Plus d'1 an,RSS07,184,535,101,11,154,70,128,104,108,94,1489
2021-P13,0 à 6 mois,RSS08,286,395,13,0,0,158,471,33,135,57,1548
2021-P13,6 à 12 mois,RSS08,30,131,4,0,0,9,11,1,20,6,212
2021-P13,Plus d'1 an,RSS08,19,118,0,0,0,6,1,,1,7,152
2021-P13,0 à 6 mois,RSS09,164,160,25,0,0,70,148,46,13,132,758
2021-P13,6 à 12 mois,RSS09,22,14,20,0,0,13,7,1,,35,112
2021-P13,Plus d'1 an,RSS09,15,3,0,0,0,1,1,1,,10,31
2021-P13,0 à 6 mois,RSS10,44,0,0,0,0,17,0,12,,2,75
2021-P13,6 à 12 mois,RSS10,0,0,0,0,0,2,0,,,0,2
2021-P13,0 à 6 mois,RSS11,176,173,3,0,0,39,210,57,13,55,726
2021-P13,6 à 12 mois,RSS11,24,27,1,0,0,1,2,7,1,5,68
2021-P13,Plus d'1 an,RSS11,10,1,0,0,0,0,0,3,,2,16
2021-P13,0 à 6 mois,RSS12,715,1485,222,0,0,338,1534,405,391,355,5445
2021-P13,6 à 12 mois,RSS12,281,174,121,0,0,71,430,85,93,172,1427
2021-P13,Plus d'1 an,RSS12,198,57,102,0,0,22,104,68,27,27,605
2021-P13,0 à 6 mois,RSS13,536,677,113,97,0,192,447,319,181,5,2567
2021-P13,6 à 12 mois,RSS13,94,277,25,13,0,66,42,75,26,9,627
2021-P13,Plus d'1 an,RSS13,99,261,45,9,0,62,14,34,4,8,536
2021-P13,0 à 6 mois,RSS14,1247,787,188,64,0,329,1483,574,373,71,5116
2021-P13,6 à 12 mois,RSS14,491,452,74,32,0,60,414,273,208,17,2021
2021-P13,Plus d'1 an,RSS14,355,425,223,41,0,38,420,299,71,24,1896
2021-P13,0 à 6 mois,RSS15,1441,2296,265,78,0,548,964,295,313,224,6424
